Composite_signature,M_abscessus_DCCs,M_abscessus_environmental,M_tuberculosis_lineage1,M_tuberculosis_lineage2,M_tuberculosis_lineage3,M_tuberculosis_lineage4,M_tuberculosis_lineage5,M_tuberculosis_lineage6,M_tuberculosis_lineage7,M_tuberculosis_orygis,M_tuberculosis_caprae,M_tuberculosis_bovis,M_canettii,M_leprae,M_avium,M_intracellulare,M_chimaera,M_kansasii_non_MKMC,M_kansasii_MKMC,P_aeruginosa_ST17,P_aeruginosa_ST111,P_aeruginosa_ST146,P_aeruginosa_ST175,P_aeruginosa_ST253,B_cenocepacia_ECs,B_pseudomallei_group1,B_pseudomallei_group2,B_pseudomallei_group3,B_pseudomallei_group4,B_pseudomallei_group5,S_pneumoniae_GPSC1,S_pneumoniae_GPSC2,S_pneumoniae_GPSC3,S_pneumoniae_GPSC6,S_pneumoniae_GPSC54,S_agalactiae_CC1,S_agalactiae_CC10,S_agalactiae_CC17,S_agalactiae_CC19,S_agalactiae_CC23,S_equi,S_pyogenes_phylogroup0,S_pyogenes_phylogroup1,S_pyogenes_phylogroup2,S_pyogenes_phylogroup3,S_aureus_ST22,S_aureus_ST239,S_aureus_ST772,S_aureus_CC398,S_epidermidis_groupA,S_epidermidis_groupB,S_epidermidis_groupC,S_haemolyticus,S_typhimurium,E_faecalis_pp2,E_faecalis_pp6,E_faecalis_pp7,C_jejuni_cluster2,C_jejuni_cluster5,C_jejuni_cluster6,C_jejuni_cluster7,C_jejuni_cluster8,K_pneumoniae_ST11,K_pneumoniae_ST23,K_pneumoniae_ST101,K_pneumoniae_ST147,K_pneumoniae_ST258_512,N_gonorrhoea,N_meningitidis_cluster1,N_meningitidis_cluster2,N_meningitidis_urethritis,E_coli_lineage11,E_coli_lineage12,E_coli_lineage14,E_coli_lineage34,S_sonnei_lineage1,S_sonnei_lineage2,S_sonnei_lineage3,S_flexneri_PG3
Composite_SBS11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
Composite_SBS12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2934815259837789,0,0.6915064871376638,0.7063417833760491,0.6982054037233861,0.6801496994669791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706518474016221,1.0,0.3084935128623362,0.2936582166239508,0.30179459627661387,0.3198503005330208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22015254185785044,0.27332285115303984,0,0.14786090515226918,0.4775295436901579,0.7454334053689842,0.7688460361984472,0.42024155910903316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6735559233473307,0.1656586637342945,0.5433885569994457,0.5087380981077498,0,0.5240838902973035,1.0,0.8284349424330698,0.3897979405372559,1.0,0,0,0,0,0,0.7798474581421496,0.7266771488469602,1.0,0.8521390948477308,0.5224704563098421,0.2545665946310159,0.23115396380155284,0.5797584408909668,0,0.7870933380675513,0.18594960609414676,0.7673360701209364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7244703939155319,0.5168699034936785,0.6030092592592593,0.7170455851841309,0.5434845455202486,0,0.3484382073336351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490390797050898,0.7959944202905929,0.5394066926709095,0.38910918535838684,0.2144471381024777,0,0.22070521932121392,0.39699074074074076,0,0.2824688621744682,0,0,0,0,0.4930108371289461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312281997619927,0,0.23788749743379184,0.2447902228543191,0,0.2755296060844681,0.2624248771851076,0,0,0.1740465923052832,0.7594686770777239,0.4666364870982345,0.7640791476407914,0.6579508576726936,0.30846552536516414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19732720532917505,0.2040055797094071,0.2227058098952987,0.44235265758707965,1.0,0,0,0,0.28295441481586914,0,0.24053132292227608,0.1849253055681304,0.2359208523592085,0.34204914232730643,0.19852363750588975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7652138983731673,0.14735381988903115,0.7789974387120381,0.7893049055295546,0.7934057827086229,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2347861016268327,0.8526461801109688,0.22100256128796195,0.2106950944704455,0.206594217291377,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composite_SBS24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21290666193244862,0.8140503939058532,0.23266392987906356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
